RUN,TRENCH_ARE,TRENCH_P,ROTATION,MID_X,MID_Y,F_INT,A_INT,F_INT_P,A_INT_P,S_FEAT,S_AREA
272,41392.10000000000,0.10005500000,17.28650000000,85537.60000000000,200678.00000000000,659,3879.19000000000,19.41660000000,10.23230000000,3665,38182.1075936
273,41368.90000000000,0.09999880000,149.21500000000,85550.30000000000,200714.00000000000,713,3789.25000000000,21.00770000000,9.99509000000,3666,38183.1075936
274,41393.50000000000,0.10005800000,88.16020000000,85536.90000000000,200678.00000000000,584,3979.26000000000,17.20680000000,10.49630000000,3667,38184.1075936
275,41363.20000000000,0.09998500000,5.23197000000,85541.00000000000,200682.00000000000,729,3889.99000000000,21.47910000000,10.26080000000,3668,38185.1075936
276,41359.70000000000,0.09997640000,32.01520000000,85539.10000000000,200674.00000000000,632,3808.85000000000,18.62110000000,10.04680000000,3669,38186.1075936
277,41385.40000000000,0.10003900000,38.34480000000,85549.30000000000,200692.00000000000,649,3885.51000000000,19.12200000000,10.24900000000,3670,38187.1075936
278,41366.10000000000,0.09999190000,30.73200000000,85541.50000000000,200702.00000000000,627,3826.86000000000,18.47380000000,10.09430000000,3671,38188.1075936
279,41346.40000000000,0.09994420000,161.40100000000,85530.90000000000,200717.00000000000,706,3776.96000000000,20.80140000000,9.96267000000,3672,38189.1075936
280,41348.70000000000,0.09994990000,49.89740000000,85541.60000000000,200678.00000000000,607,3876.88000000000,17.88450000000,10.22620000000,3673,38190.1075936
281,41370.30000000000,0.10000200000,73.33630000000,85534.60000000000,200709.00000000000,602,3697.88000000000,17.73720000000,9.75408000000,3674,38191.1075936
282,41358.90000000000,0.09997460000,103.74200000000,85550.60000000000,200699.00000000000,699,3783.87000000000,20.59520000000,9.98089000000,3675,38192.1075936
283,41371.90000000000,0.10000600000,56.83070000000,85535.60000000000,200713.00000000000,654,3734.33000000000,19.26930000000,9.85023000000,3676,38193.1075936
284,41370.40000000000,0.10000200000,14.83030000000,85535.80000000000,200718.00000000000,625,3782.01000000000,18.41490000000,9.97600000000,3677,38194.1075936
285,41453.00000000000,0.10020200000,89.44570000000,85538.40000000000,200696.00000000000,680,3814.09000000000,20.03540000000,10.06060000000,3678,38195.1075936
286,41368.20000000000,0.09999690000,139.26900000000,85546.30000000000,200705.00000000000,711,3658.72000000000,20.94870000000,9.65079000000,3679,38196.1075936
287,41365.80000000000,0.09999130000,52.85290000000,85536.40000000000,200691.00000000000,690,3752.09000000000,20.33000000000,9.89708000000,3680,38197.1075936
288,41374.10000000000,0.10001100000,49.53600000000,85533.60000000000,200687.00000000000,674,3716.87000000000,19.85860000000,9.80418000000,3681,38198.1075936
289,41420.60000000000,0.10012400000,24.23560000000,85534.10000000000,200673.00000000000,688,3697.43000000000,20.27110000000,9.75290000000,3682,38199.1075936
290,41356.40000000000,0.09996850000,136.96500000000,85533.40000000000,200675.00000000000,675,3648.14000000000,19.88800000000,9.62288000000,3683,38200.1075936
291,41341.70000000000,0.09993300000,96.13320000000,85531.30000000000,200715.00000000000,673,3707.22000000000,19.82910000000,9.77872000000,3684,38201.1075936
292,41358.60000000000,0.09997380000,145.45200000000,85539.60000000000,200696.00000000000,678,3771.81000000000,19.97640000000,9.94908000000,3685,38202.1075936
293,41385.60000000000,0.10003900000,124.65600000000,85539.90000000000,200715.00000000000,707,3775.97000000000,20.83090000000,9.96006000000,3686,38203.1075936
294,41368.90000000000,0.09999870000,71.28240000000,85534.30000000000,200703.00000000000,687,3835.05000000000,20.24160000000,10.11590000000,3687,38204.1075936
295,41378.20000000000,0.10002100000,142.51500000000,85533.90000000000,200703.00000000000,654,3764.20000000000,19.26930000000,9.92902000000,3688,38205.1075936
296,41369.00000000000,0.09999880000,128.63100000000,85545.50000000000,200713.00000000000,705,3819.82000000000,20.77190000000,10.07570000000,3689,38206.1075936
297,41365.30000000000,0.09998990000,118.13900000000,85537.20000000000,200710.00000000000,692,3785.85000000000,20.38890000000,9.98613000000,3690,38207.1075936
298,41336.80000000000,0.09992100000,8.55996000000,85547.50000000000,200689.00000000000,651,3724.81000000000,19.18090000000,9.82512000000,3691,38208.1075936
299,41364.20000000000,0.09998730000,104.06700000000,85550.80000000000,200705.00000000000,743,3691.05000000000,21.89160000000,9.73607000000,3692,38209.1075936
