OBJECTID,RUN,TRENCH_ARE,TRENCH_P,ROTATION,MID_X,MID_Y,F_INT,A_INT,F_INT_P,A_INT_P
489.0,489.0,522.7,0.1,168.0,120298.0,188554.0,74.0,27.2,16.5,8.9
490.0,490.0,484.9,0.1,21.0,120286.0,188525.0,65.0,27.8,14.5,9.1
491.0,491.0,461.1,0.1,160.0,120291.0,188558.0,66.0,29.0,14.7,9.5
492.0,492.0,497.2,0.1,2.0,120286.0,188556.0,74.0,24.3,16.5,7.9
493.0,493.0,475.2,0.1,141.0,120289.0,188525.0,81.0,33.2,18.0,10.9
494.0,494.0,501.6,0.1,23.0,120288.0,188560.0,80.0,33.7,17.8,11.0
495.0,495.0,493.9,0.1,76.0,120300.0,188530.0,104.0,32.0,23.2,10.5
496.0,496.0,502.4,0.1,167.0,120297.0,188566.0,63.0,36.4,14.0,11.9
497.0,497.0,476.9,0.1,100.0,120299.0,188538.0,48.0,27.7,10.7,9.1
498.0,498.0,508.5,0.1,65.0,120294.0,188529.0,62.0,30.8,13.8,10.1
499.0,499.0,532.5,0.1,163.0,120299.0,188552.0,93.0,26.8,20.7,8.8
500.0,500.0,454.7,0.1,74.0,120289.0,188533.0,98.0,30.0,21.8,9.8
